postcodes,latitude,longitude
BA2 9HN,51.3596,-2.391056521739129
BA20 1DL,50.9416,-2.6321
BA20 1PE,50.9416,-2.6321
BA20 1RF,50.9416,-2.6321
BA20 1RG,50.9416,-2.6321
BA20 2AJ,50.9416,-2.6321
BA20 2AU,50.9416,-2.6321
BA20 2HB,50.9416,-2.6321
BA20 2PH,50.9416,-2.6321
BA21 3BL,50.9743,-2.6077
BA21 3EG,50.9743,-2.6077
BA21 3TL,50.9743,-2.6077
BA21 4HA,50.9743,-2.6077
BA21 4LX,50.9743,-2.6077
BA21 4NP,50.9743,-2.6077
BA21 5BQ,50.9743,-2.6077
BA21 5BT,50.9743,-2.6077
BA21 5DW,50.9743,-2.6077
BA21 5UB,50.9743,-2.6077
BA22 7JE,50.8687,-2.623765714285714
BA22 8JS,50.8687,-2.623765714285714
BA22 9AA,50.8687,-2.623765714285714
BA3 2DL,51.221,-2.482284615384613
BA3 2DT,51.221,-2.482284615384613
BA3 2DW,51.221,-2.482284615384613
BA3 3RN,51.221,-2.482284615384613
BA3 3RQ,51.221,-2.482284615384613
BA3 3SX,51.221,-2.482284615384613
BA3 4AX,51.221,-2.482284615384613
BA3 4JN,51.221,-2.482284615384613
BA3 5JJ,51.221,-2.482284615384613
BA3 5NJ,51.221,-2.482284615384613
BA4 5AN,51.2114,-2.514206666666666
BA4 5PT,51.2114,-2.514206666666666
BA4 5SB,51.2114,-2.514206666666666
BA4 6JP,51.2114,-2.514206666666666
BA5 1SQ,51.1999,-2.6599523809523817
BA5 2AZ,51.1999,-2.6599523809523817
BA5 2DZ,51.1999,-2.6599523809523817
BA5 2EF,51.1999,-2.6599523809523817
BA5 2PJ,51.1999,-2.6599523809523817
BA5 3LF,51.1999,-2.6599523809523817
BA6 8SU,51.1783,-2.708916666666667
BA6 9DX,51.1783,-2.708916666666667
BA6 9ED,51.1783,-2.708916666666667
BA6 9NR,51.1783,-2.708916666666667
BA7 7AH,51.0883,-2.53894
BA7 7BG,51.0883,-2.53894
BA9 9EB,51.0411,-2.4144642857142853
BA9 9JB,51.0411,-2.4144642857142853
BB1 2HR,53.75,-2.4633333333333334
BB1 2JB,53.75,-2.4633333333333334
BB1 2PX,53.75,-2.4633333333333334
BB1 3HF,53.75,-2.4633333333333334
BB1 3HQ,53.75,-2.4633333333333334
BB1 4DJ,53.75,-2.4633333333333334
BB1 4JZ,53.75,-2.4633333333333334
BB1 5AZ,53.75,-2.4633333333333334
BB1 6EE,53.75,-2.4633333333333334
BB1 7JE,53.75,-2.4633333333333334
BB1 7JF,53.75,-2.4633333333333334
