postcodes,latitude,longitude
BA4 5AN,51.1902919,-2.5472143
BA4 5PT,51.1861997,-2.5357335
BA4 5SB,51.1890742,-2.5499329
BA4 6JP,51.1482617,-2.505543
BA5 1SQ,51.2045765,-2.6482686
BA5 2AZ,51.205278,-2.6531023
BA5 2DZ,51.2075613,-2.6532205
BA5 2EF,51.2066257,-2.6597061
BA5 2PJ,51.209484,-2.6502701
BA5 3LF,51.2134082,-2.6348633
BA6 8SU,51.1012196,-2.6863256
BA6 9DX,51.1477143,-2.7154794
BA6 9ED,51.1454937,-2.7198053
BA6 9NR,51.1783,-2.708916666666667
